word_id,xhosa,infinitive,is_plural
245,bulala,ukubulala,false
246,azi,ukwazi,false
247,funda,ukufunda,false
248,hamba,ukuhamba,false
249,(i)mka,ukumka,false
250,shiya,ukushiya,false
251,ngqengqa,ukungqengqa,false
252,thanda,ukuthanda,false
253,xoka,ukuxoka,false
254,jonga,ukujonga,false
255,fudukela,ukufudukela,false
256,bekelisa,ukubekelisa,false
257,funa,ukufuna,false
258,dinga,ukudinga,false
259,bhatala,ukubhatala,false
260,lungiselela,ukulungiselela,false
261,cofa,cofa,false
262,tyhala,ukutyala,false
263,faka,ukufaka,false
264,tsala,ukutsala,false
265,beka,ukubeka,false
266,zimela,ukuzimela,false
267,bamba,ukubamba,false
268,mamela,ukumamela,false
269,shukumisa,ukushukumisa,false
270,shukuma,ukushukuma,false
271,phila,ukuphila,false
272,hlala,ukuhlala,false
273,enzeka,ukwenzeka,false
274,dibana,ukudibana,false
275,phosisa,ukuphosisa,false
276,tyala,ukutyala,false
277,izityalo,,true
278,qaphela,ukuqaphela,false
279,itapile,,false
280,ipayina,,false
281,amapayina,,true
282,urhulumente wengingqi,,false
283,oorhulumente beengingqi,,true
284,iBhunga likaMasipala,,false
285,usuku,,false
286,namhlanje,,false
287,iintsuku,,true
288,inkundla,,false
289,iitapile,,true
290,izolo,,false
291,izolo elinye,,false
292,ithanga,,false
293,amathanga,,true
294,irayisi,,false
295,iinkundla,,true
296,ispinatshi,,false
297,INkundla ePhezulu yeziBheno,,false
298,INkundla yezomGaqo-siseko,,false
299,amaBhunga ooMasipala,,true
300,INkundla ePhakamileyo,,false
301,itumato,,false
302,iqunube,,false
303,INkundla yamaBango amaNcinci,,false
304,ivatala,,false
305,INkundla kaMantyi,,false
306,ngomso,,false
307,iivatala,,false
308,impelaveki,,false
309,isithako,,false
310,iitumato,,true
311,isibheno,,false
312,iimpelaveki,,true
313,isicelo sebheyile,,false
314,kwakusasa,,false
315,amaqunube,,true
316,inqwelomoya,,false
317,ummangalelwa,,false
318,abamangalelwa,,true
319,izibheno,,true
320,izithako,,true
321,iibhayisekile,,true
322,ibheyile,,false
323,ibhayisekile,,false
324,inqwelo,,false
325,ukuphanga kuxhotyiwe,,false
326,iinqwelomoya,,true
327,izicelo zebheyile,,true
328,ityala,,false
329,iinqwelo,,true
330,iimini,,true
331,imini,,false
332,ekuseni,,false
333,kusasa,,false
334,ukuphuma kwelanga,,false
335,ngentlazane,,false
336,ubusuku,,false
337,inyanga,,false
338,amatyala,,true
339,isisele,,false
340,amalanga,,true
341,isikhitshana,,false
342,izikhitshana,,true
343,isikhephe,,false
344,izikhephe,,true
345,thembisa,ukuthembisa,false
346,izisele,,true
347,isityholo,,false
348,ibhasi,,false
349,izityholo,,true
350,iibhasi,,true
351,amalungiselelo,,true
352,igqirha,,true
353,isikhalazo,,false
354,izikhalazo,,false
355,ugqirha,,false
356,oogqirha,,true
357,urhwaphilizo,,false
358,isigwebo sentambo,,false
359,gwayimba,ukugwayimba,false
360,ubungqina,,false
361,isiyobisi,,false
362,isilenge,,false
363,abamangalelwa,,true
364,cranes,,true
365,ummangalelwa,,false
366,ummangali,,false
367,abamangali,,true
368,amagqirha,,true
369,iintlanzi,,true
370,ikhetshi,,false
371,ubugebenga,,false
372,iziyobisi,,true
373,isihlawuliso,,false
374,iveni,,false
375,umkhumbi,,false
376,ihelikhopta,,false
377,izithuthuthu,,true
378,izihlawuliso,,true
379,imidliwo,,true
380,urhwaphilizo,,false
381,isithuthuthu,,false
382,loba,ukuloba,false
383,isithuthi sikawonke-wonke,,false
384,iihelikhopta,,true
385,umphangi,,false
386,abakhweli,,true
387,umdliwo,,false
388,isikrelemnqa,,false
389,umkhweli,,false
390,izikrelemnqa,,false
391,inqanawe,,false
392,iiveni ,,true
393,abaphangi,,true
394,iinqanawe,,true
395,indlala,,false
396,ityala,,false
397,imini emaqanda,,false
398,emva kwemini,,false
399,emalanga,,false
400,tshona,ukutshona,false
401,phuma,ukuphuma,false
402,phuma,ukuphuma,false
403,isithuthi,,false
404,izithuthi,,true
405,matshona,,false
406,intlanzi,,false
407,isipheke-pheke,,false
408,izipheke-pheke,,true
409,amaqhinga,,true
410,iqhinga,,false
411,phambili,,false
412,phezulu,,false
413,phantsi,,false
414,phantsi,,false
415,canda,ukucanda,false
416,canda,ukucanda,false
417,galela,ukugalela,false
418,ulusu,,false
419,ulusu,,false
420,ncwela,ukuncwela,false
421,ncwela,ukuncwela,false
422,hamba,ukuhamba,false
423,idlala,,false
424,umnakwethu,,false
425,umninawa,,false
426,hayi,,false
427,ewe,,false
428,ulwimi,,false
429,iilwimi,,true
430,ubuso,,false
431,ihashe,,false
432,ihashe,,false
433,idlala,,false
434,iKapa,,false
435,ukuba,,false
436,phesheya,,false
437,phaya,,false
438,apho,,false
439,apha,,false
440,ngorhatya,,false
441,kodwa,,false
442,ilizwe,,false
443,imali,,false
444,kungenzeka,,false
445,phantse,,false
446,ifuthe,,false
447,amafuthe,,true
448,amafutha,,false
449,lahleka,ukulahleka,false
450,lahla,ukulahla,false
451,imfazwe,,false
452,phezulu,,false
453,inkonxa,,false
454,amasi,,false
455,ukuqala,,false
456,umzuzu,,false
457,imizuzu,,true
458,iyure,,false
459,umzuzwana,,false
460,imizuzwana,,true
461,iiyure,,true
462,isibini,,false
463,uluntu,,false
464,qhwaba,ukuqhwaba,false
465,iinkonzo,,true
466,uluntu,,false
467,(i)za,ukuza,false
468,qhwaba,ukuqhwaba,false
469,umfundisi,,false
470,umgqomo,,false
471,kha,ukukha,false
472,sala,ukusala,false
474,umgodi,,false
475,umntu,,false
476,noxa,,false
477,thetha,ukuthetha,false
478,mbi,,false
479,mbi,,false
480,abantu,,true
481,imo,,false
482,imeko,,false
483,imo,,false
484,imo,,false
485,umongameli,,false
486,umongameli,,false
487,intombi,,false
488,inenekazi,,false
489,ninzi,,false
490,iphupha,,false
491,mva nje,,false
492,iindlela,,true
493,iindlela,,true
494,indlela,,false
495,indlela,,false
496,ikhaya,,false
497,ninzi,,false
498,indoda,,false
499,umfazi,,false
500,umnumzana,,false
501,umhlekazi,,false
502,nakho,ukuba nakho,false
503,kwazi uku-,ukukwazi,false
504,ixesha,,false
505,amaxesha,,true
506,unyaka,,false
507,abafazi,,true
508,amadoda,,true
509,iminyaka,,true
510,nye,,false
511,phandle,,false
512,phakathi,,false
513,phakathi,,false
514,emva,,false
515,phambili,,false
516,phambili,,false
517,emva,,false
518,amacala,,true
519,ecaleni,,false
520,ekunene,,false
521,ekhohlo,,false
522,nye,,false
523,ukuze,,false
524,ukuba,,false
525,thabatha,ukuthabatha,false
526,fumana,ukufumana,false
527,zisa,ukuzisa,false
528,qha,,false
529,kuphela,,false
530,ngoku,,false
531,kwaye,,false
532,phupha,ukuphupha,false
533,ntoni?,,false
534,okokoko,,false
535,soloko,ukusoloko,false
536,imigqomo,,true
537,imbali,,false
538,inkcubeko,,false
539,vumela,ukuvumela,false
540,inkolo,,false
541,fana,ukufana,false
542,phi?,,false
543,impilo,,false
544,ubomi,,false
545,impilo,,false
546,njani?,,false
547,mnandi,,false
548,kakuhle,,false
549,umhlaba,,false
550,umzi,,false
551,indlu,,false
552,izindlu,,true
553,kuba,,false
554,isikolo,,false
555,iyunivesithi,,false
556,funda,ukufunda,false
557,iiyunivesithi,,true
558,izikolo,,true
559,umntwana,,false
560,abantwana,,true
561,va,ukuva,false
562,iingxaki,,true
563,umhlaba,,false
564,indawo,,false
565,iindawo,,true
566,mbalwa,,false
567,jika,ukujika,false
568,ngqo,,false
569,chitha,ukuchitha,false
570,chitha,ukuchitha,false
571,buthathaka,,false
572,ihlabathi,,false
573,umhlobo,,false
574,iwele,,false
575,iingxangxasi,,true
576,caphula,ukucaphula,false
577,amakhaya,,true
578,ingxangxasi,,false
579,logama,,false
580,nye,,false
581,icala,,false
582,chitha,ukuchitha,false
583,ingxaki,,false
584,imizi,,true
585,inyanga,,false
586,iveki,,false
587,imimiselo,,true
588,imiqathango,,true
589,umyeni,,false
590,umfazi,,false
591,amandla,,false
592,imimiselo nemiqathango,,true
593,amandla,,false
595,iiveki,,true
596,umnxeba,,false
597,unomathotholo,,false
598,umlambo,,false
